SITE_CODE,SITE_NAME,HABITAT_CODE,HABITAT_PRIORITY,HABITAT_DESCRIPTION,HABITAT_COVER_HA,HABITAT_REPRESENTATIVITY,HABITAT_RELATIVE_SURFACE,HABITAT_CONSERVATION,HABITAT_GLOBAL
IT1110007,Laghi di Avigliana,7210,,Paludi calcaree con Cladium mariscus e specie del Caricion davallianae,3.65,A - excellent,C (2% >= p > 0%),B - Good,A - Excellent
IT1110007,Laghi di Avigliana,3260,,Fiumi delle pianure e montani con vegetazione del Ranunculion fluitantis e Callitricho- Batrachion.,0.06,B - good,C (2% >= p > 0%),B - Good,B - Good
IT1110007,Laghi di Avigliana,8220,,Pareti rocciose silicee con vegetazione casmofitica,3.02,C - significant,C (2% >= p > 0%),B - Good,C - Significant
IT1110007,Laghi di Avigliana,9260,,Boschi di Castanea sativa,0.94,C - significant,C (2% >= p > 0%),B - Good,C - Significant
IT1110007,Laghi di Avigliana,3150,,Laghi eutrofici naturali con vegetazione del Magnopotamion o Hydrocharition,6.38,B - good,C (2% >= p > 0%),B - Good,B - Good
IT1110007,Laghi di Avigliana,9160,,Querceti di farnia o rovere subatlantici e dell’Europa centrale del Carpinion betuli,27.73,B - good,C (2% >= p > 0%),B - Good,C - Significant
IT1110007,Laghi di Avigliana,91E0,,,35.08,B - good,C (2% >= p > 0%),B - Good,C - Significant
IT1110007,Laghi di Avigliana,6510,,"Praterie magre da fieno a bassa altitudine (Alopecurus pratensis, Sanguisorba officinalis)",20.71,B - good,C (2% >= p > 0%),B - Good,B - Good
IT1110008,Madonna della Neve sul Monte Lera,6410,,"Praterie con Molinia su terreni calcarei, torbosi o argilloso-limosi (Molinion caeruleae)",30.32,A - excellent,C (2% >= p > 0%),A - Excellent,A - Excellent
IT1110008,Madonna della Neve sul Monte Lera,9180,,"Foreste di versanti, ghiaioni e valloni del Tilio-Acerion",0.62,C - significant,C (2% >= p > 0%),C - Average or reduced,C - Significant
IT1110008,Madonna della Neve sul Monte Lera,9160,,Querceti di farnia o rovere subatlantici e dell’Europa centrale del Carpinion betuli,13.04,C - significant,C (2% >= p > 0%),B - Good,C - Significant
IT1110008,Madonna della Neve sul Monte Lera,8220,,Pareti rocciose silicee con vegetazione casmofitica,4.5,C - significant,C (2% >= p > 0%),B - Good,C - Significant
IT1110009,"Bosco del Vaj e ""Bosc Grand""",6210,,Formazioni erbose secche seminaturali e facies coperte da cespugli su substrato calcareo (Festuco-Brometalia) (*stupenda fioritura di orchidee),55.23,B - good,C (2% >= p > 0%),B - Good,B - Good
IT1110009,"Bosco del Vaj e ""Bosc Grand""",9110,,Faggeti del Luzulo-Fagetum,4.04,B - good,C (2% >= p > 0%),B - Good,B - Good
IT1110009,"Bosco del Vaj e ""Bosc Grand""",9180,,"Foreste di versanti, ghiaioni e valloni del Tilio-Acerion",8.08,C - significant,C (2% >= p > 0%),C - Average or reduced,C - Significant
IT1110009,"Bosco del Vaj e ""Bosc Grand""",6510,,"Praterie magre da fieno a bassa altitudine (Alopecurus pratensis, Sanguisorba officinalis)",52.53,C - significant,C (2% >= p > 0%),B - Good,B - Good
IT1110009,"Bosco del Vaj e ""Bosc Grand""",91E0,,,6.74,C - significant,C (2% >= p > 0%),C - Average or reduced,C - Significant
IT1110009,"Bosco del Vaj e ""Bosc Grand""",9160,,Querceti di farnia o rovere subatlantici e dell’Europa centrale del Carpinion betuli,68.7,B - good,C (2% >= p > 0%),C - Average or reduced,C - Significant
IT1110009,"Bosco del Vaj e ""Bosc Grand""",9260,,Boschi di Castanea sativa,250.54,C - significant,C (2% >= p > 0%),C - Average or reduced,C - Significant
IT1110009,"Bosco del Vaj e ""Bosc Grand""",6430,,"Bordure planiziali, montane e alpine di megaforbie idrofile",22.9,C - significant,C (2% >= p > 0%),B - Good,B - Good
IT1110010,Gran Bosco di Salbertrand,3220,,Fiumi alpini con vegetazione riparia erbacea,0.8,C - significant,C (2% >= p > 0%),B - Good,B - Good
IT1110010,Gran Bosco di Salbertrand,6170,,Formazioni erbose calcicole alpine e subalpine,55.0,B - good,C (2% >= p > 0%),B - Good,B - Good
IT1110010,Gran Bosco di Salbertrand,7230,,Torbiere basse alcaline,1.4,B - good,C (2% >= p > 0%),A - Excellent,B - Good
IT1110010,Gran Bosco di Salbertrand,7220,,Sorgenti pietrificanti con formazione di tufi (Cratoneurion),3.71,B - good,C (2% >= p > 0%),B - Good,B - Good
IT1110010,Gran Bosco di Salbertrand,8210,,Pareti rocciose calcaree con vegetazione casmofitica,1.2,C - significant,C (2% >= p > 0%),B - Good,B - Good
IT1110010,Gran Bosco di Salbertrand,6510,,"Praterie magre da fieno a bassa altitudine (Alopecurus pratensis, Sanguisorba officinalis)",100.0,C - significant,C (2% >= p > 0%),C - Average or reduced,C - Significant
IT1110010,Gran Bosco di Salbertrand,9130,,Faggeti dell’Asperulo-Fagetum,5.0,D - non significant,,,
IT1110010,Gran Bosco di Salbertrand,3140,,Acque oligomesotrofe calcaree con vegetazione bentica di Chara spp.,3.71,B - good,C (2% >= p > 0%),B - Good,B - Good
IT1110010,Gran Bosco di Salbertrand,9410,,Foreste acidofile montane e alpine di Picea (Vaccinio-Piceetea),215.0,B - good,C (2% >= p > 0%),C - Average or reduced,C - Significant
IT1110010,Gran Bosco di Salbertrand,9180,,"Foreste di versanti, ghiaioni e valloni del Tilio-Acerion",51.0,C - significant,C (2% >= p > 0%),C - Average or reduced,C - Significant
IT1110010,Gran Bosco di Salbertrand,5130,,Formazioni a Juniperus communis su lande o prati calcicoli,2.0,C - significant,C (2% >= p > 0%),C - Average or reduced,C - Significant
IT1110010,Gran Bosco di Salbertrand,9420,,Foreste alpine di Larix decidua e/o Pinus cembra,1041.9,A - excellent,C (2% >= p > 0%),A - Excellent,A - Excellent
IT1110010,Gran Bosco di Salbertrand,6110,,Formazioni erbose rupicole calcicole o basofile dell'Alysso-Sedion albi,0.08,C - significant,C (2% >= p > 0%),B - Good,B - Good
IT1110010,Gran Bosco di Salbertrand,3160,,Laghi e stagni distrofici naturali,0.3,C - significant,A (100% >= p > 15%),A - Excellent,B - Good
IT1110010,Gran Bosco di Salbertrand,4080,,Boscaglie subartiche di Salix spp.,74.24,B - good,C (2% >= p > 0%),B - Good,B - Good
IT1110010,Gran Bosco di Salbertrand,4060,,Lande alpine e boreali,481.3,A - excellent,C (2% >= p > 0%),A - Excellent,A - Excellent
IT1110010,Gran Bosco di Salbertrand,6520,,Praterie montane da fieno,104.0,B - good,C (2% >= p > 0%),B - Good,B - Good
IT1110010,Gran Bosco di Salbertrand,91E0,,,18.6,C - significant,C (2% >= p > 0%),C - Average or reduced,C - Significant
IT1110010,Gran Bosco di Salbertrand,6430,,"Bordure planiziali, montane e alpine di megaforbie idrofile",156.0,B - good,C (2% >= p > 0%),A - Excellent,A - Excellent
IT1110010,Gran Bosco di Salbertrand,8120,,Ghiaioni calcarei e scisto-calcarei montani e alpini (Thlaspietea rotundifolii),224.8,D - non significant,,,
IT1110013,Monti Pelati e Torre Cives,6410,,"Praterie con Molinia su terreni calcarei, torbosi o argilloso-limosi (Molinion caeruleae)",4.0,B - good,C (2% >= p > 0%),B - Good,B - Good
IT1110013,Monti Pelati e Torre Cives,6510,,"Praterie magre da fieno a bassa altitudine (Alopecurus pratensis, Sanguisorba officinalis)",6.67,C - significant,C (2% >= p > 0%),B - Good,C - Significant
IT1110013,Monti Pelati e Torre Cives,91E0,,,4.64,D - non significant,,,
IT1110013,Monti Pelati e Torre Cives,6130,,Formazioni erbose calaminari dei Violetalia calaminariae,15.0,B - good,C (2% >= p > 0%),B - Good,B - Good
IT1110013,Monti Pelati e Torre Cives,4030,,Lande secche europee,7.25,B - good,C (2% >= p > 0%),B - Good,B - Good
IT1110013,Monti Pelati e Torre Cives,6210,,Formazioni erbose secche seminaturali e facies coperte da cespugli su substrato calcareo (Festuco-Brometalia) (*stupenda fioritura di orchidee),1.5,B - good,C (2% >= p > 0%),B - Good,B - Good
IT1110014,Stura di Lanzo,3220,,Fiumi alpini con vegetazione riparia erbacea,0.8,D - non significant,,,
IT1110014,Stura di Lanzo,3240,,Fiumi alpini con vegetazione riparia legnosa a Salix eleagnos,151.36,C - significant,A (100% >= p > 15%),B - Good,B - Good
IT1110014,Stura di Lanzo,6430,,"Bordure planiziali, montane e alpine di megaforbie idrofile",0.1,D - non significant,,,
IT1110014,Stura di Lanzo,3260,,Fiumi delle pianure e montani con vegetazione del Ranunculion fluitantis e Callitricho- Batrachion.,0.69,A - excellent,C (2% >= p > 0%),B - Good,B - Good
IT1110014,Stura di Lanzo,6510,,"Praterie magre da fieno a bassa altitudine (Alopecurus pratensis, Sanguisorba officinalis)",58.48,B - good,B (15% >= p > 2%),B - Good,B - Good
IT1110014,Stura di Lanzo,6210,,Formazioni erbose secche seminaturali e facies coperte da cespugli su substrato calcareo (Festuco-Brometalia) (*stupenda fioritura di orchidee),10.4,C - significant,C (2% >= p > 0%),C - Average or reduced,C - Significant
IT1110014,Stura di Lanzo,3130,,"Acque stagnanti, da oligotrofe a mesotrofe, con vegetazione dei Littorelletea uniflorae e/o degli Isoëto-Nanojuncetea",0.2,D - non significant,,,
IT1110014,Stura di Lanzo,3270,,Fiumi con argini melmosi con vegetazione del Chenopodion rubri p.p e Bidention p.p.,0.7,D - non significant,,,
IT1110014,Stura di Lanzo,9160,,Querceti di farnia o rovere subatlantici e dell’Europa centrale del Carpinion betuli,123.84,B - good,A (100% >= p > 15%),C - Average or reduced,B - Good
IT1110014,Stura di Lanzo,91E0,,,45.408,A - excellent,B (15% >= p > 2%),C - Average or reduced,B - Good
IT1110014,Stura di Lanzo,91F0,,"Foreste miste riparie di grandi fiumi a Quercus robur, Ulmus laevis e Ulmus minor, Fraxinus excelsior o Fraxinus angustifolia (Ulmenion minoris)",20.64,B - good,B (15% >= p > 2%),B - Good,B - Good
IT1110015,Confluenza Po - Pellice,3240,,Fiumi alpini con vegetazione riparia legnosa a Salix eleagnos,1.46,C - significant,B (15% >= p > 2%),C - Average or reduced,B - Good
IT1110015,Confluenza Po - Pellice,3270,,Fiumi con argini melmosi con vegetazione del Chenopodion rubri p.p e Bidention p.p.,1.46,C - significant,C (2% >= p > 0%),C - Average or reduced,C - Significant
IT1110015,Confluenza Po - Pellice,6510,,"Praterie magre da fieno a bassa altitudine (Alopecurus pratensis, Sanguisorba officinalis)",18.83,A - excellent,C (2% >= p > 0%),B - Good,B - Good
IT1110015,Confluenza Po - Pellice,91E0,,,21.32,A - excellent,C (2% >= p > 0%),B - Good,B - Good
IT1110016,Confluenza Po - Maira,3240,,Fiumi alpini con vegetazione riparia legnosa a Salix eleagnos,0.71,D - non significant,,,
IT1110016,Confluenza Po - Maira,91E0,,,32.04,B - good,C (2% >= p > 0%),B - Good,B - Good
IT1110017,Lanca di Santa Marta (Confluenza Po - Banna),91E0,,,17.88,B - good,C (2% >= p > 0%),B - Good,C - Significant
IT1110018,Confluenza Po - Orco - Malone,3260,,Fiumi delle pianure e montani con vegetazione del Ranunculion fluitantis e Callitricho- Batrachion.,0.5,C - significant,C (2% >= p > 0%),C - Average or reduced,C - Significant
IT1110018,Confluenza Po - Orco - Malone,3270,,Fiumi con argini melmosi con vegetazione del Chenopodion rubri p.p e Bidention p.p.,3.12,B - good,C (2% >= p > 0%),B - Good,C - Significant
IT1110018,Confluenza Po - Orco - Malone,3240,,Fiumi alpini con vegetazione riparia legnosa a Salix eleagnos,14.98,C - significant,C (2% >= p > 0%),C - Average or reduced,C - Significant
IT1110018,Confluenza Po - Orco - Malone,9160,,Querceti di farnia o rovere subatlantici e dell’Europa centrale del Carpinion betuli,3.12,C - significant,C (2% >= p > 0%),C - Average or reduced,C - Significant
IT1110018,Confluenza Po - Orco - Malone,91E0,,,3.12,B - good,C (2% >= p > 0%),B - Good,C - Significant
IT1110019,Baraccone (confluenza Po - Dora Baltea),91E0,,,214.06,B - good,C (2% >= p > 0%),C - Average or reduced,C - Significant
IT1110019,Baraccone (confluenza Po - Dora Baltea),91F0,,"Foreste miste riparie di grandi fiumi a Quercus robur, Ulmus laevis e Ulmus minor, Fraxinus excelsior o Fraxinus angustifolia (Ulmenion minoris)",3.7,C - significant,C (2% >= p > 0%),C - Average or reduced,C - Significant
IT1110019,Baraccone (confluenza Po - Dora Baltea),3150,,Laghi eutrofici naturali con vegetazione del Magnopotamion o Hydrocharition,15.74,B - good,C (2% >= p > 0%),B - Good,C - Significant
IT1110019,Baraccone (confluenza Po - Dora Baltea),3260,,Fiumi delle pianure e montani con vegetazione del Ranunculion fluitantis e Callitricho- Batrachion.,0.5,C - significant,C (2% >= p > 0%),C - Average or reduced,C - Significant
IT1110019,Baraccone (confluenza Po - Dora Baltea),3240,,Fiumi alpini con vegetazione riparia legnosa a Salix eleagnos,283.32,B - good,C (2% >= p > 0%),B - Good,C - Significant
IT1110019,Baraccone (confluenza Po - Dora Baltea),6510,,"Praterie magre da fieno a bassa altitudine (Alopecurus pratensis, Sanguisorba officinalis)",33.05,B - good,C (2% >= p > 0%),B - Good,C - Significant
IT1110019,Baraccone (confluenza Po - Dora Baltea),9160,,Querceti di farnia o rovere subatlantici e dell’Europa centrale del Carpinion betuli,9.44,D - non significant,,,
IT1110020,Lago di Viverone,91E0,,,61.1,B - good,C (2% >= p > 0%),B - Good,C - Significant
IT1110020,Lago di Viverone,91F0,,"Foreste miste riparie di grandi fiumi a Quercus robur, Ulmus laevis e Ulmus minor, Fraxinus excelsior o Fraxinus angustifolia (Ulmenion minoris)",30.0,B - good,C (2% >= p > 0%),B - Good,B - Good
IT1110020,Lago di Viverone,9160,,Querceti di farnia o rovere subatlantici e dell’Europa centrale del Carpinion betuli,1.9,B - good,C (2% >= p > 0%),B - Good,C - Significant
IT1110020,Lago di Viverone,7140,,Torbiere di transizione e instabili,0.01,C - significant,C (2% >= p > 0%),C - Average or reduced,B - Good
IT1110020,Lago di Viverone,6510,,"Praterie magre da fieno a bassa altitudine (Alopecurus pratensis, Sanguisorba officinalis)",2.4,C - significant,C (2% >= p > 0%),B - Good,C - Significant
IT1110020,Lago di Viverone,3260,,Fiumi delle pianure e montani con vegetazione del Ranunculion fluitantis e Callitricho- Batrachion.,0.39,C - significant,C (2% >= p > 0%),C - Average or reduced,C - Significant
IT1110020,Lago di Viverone,3130,,"Acque stagnanti, da oligotrofe a mesotrofe, con vegetazione dei Littorelletea uniflorae e/o degli Isoëto-Nanojuncetea",0.4,B - good,C (2% >= p > 0%),C - Average or reduced,B - Good
IT1110020,Lago di Viverone,3150,,Laghi eutrofici naturali con vegetazione del Magnopotamion o Hydrocharition,7.6,B - good,C (2% >= p > 0%),C - Average or reduced,B - Good
IT1110020,Lago di Viverone,9260,,Boschi di Castanea sativa,1.4,D - non significant,,,
IT1110020,Lago di Viverone,7210,,Paludi calcaree con Cladium mariscus e specie del Caricion davallianae,0.1,B - good,C (2% >= p > 0%),B - Good,B - Good
IT1110020,Lago di Viverone,6430,,"Bordure planiziali, montane e alpine di megaforbie idrofile",0.6,B - good,C (2% >= p > 0%),C - Average or reduced,B - Good
IT1110021,Laghi di Ivrea,9260,,Boschi di Castanea sativa,250.89,C - significant,C (2% >= p > 0%),B - Good,C - Significant
IT1110021,Laghi di Ivrea,3270,,Fiumi con argini melmosi con vegetazione del Chenopodion rubri p.p e Bidention p.p.,1.6,C - significant,C (2% >= p > 0%),B - Good,C - Significant
IT1110021,Laghi di Ivrea,3150,,Laghi eutrofici naturali con vegetazione del Magnopotamion o Hydrocharition,75.11,B - good,C (2% >= p > 0%),B - Good,B - Good
IT1110021,Laghi di Ivrea,3260,,Fiumi delle pianure e montani con vegetazione del Ranunculion fluitantis e Callitricho- Batrachion.,1.6,C - significant,C (2% >= p > 0%),C - Average or reduced,C - Significant
IT1110021,Laghi di Ivrea,3240,,Fiumi alpini con vegetazione riparia legnosa a Salix eleagnos,3.2,D - non significant,,,
IT1110021,Laghi di Ivrea,6210,,Formazioni erbose secche seminaturali e facies coperte da cespugli su substrato calcareo (Festuco-Brometalia) (*stupenda fioritura di orchidee),7.99,C - significant,C (2% >= p > 0%),B - Good,C - Significant
IT1110021,Laghi di Ivrea,91E0,,,59.13,B - good,C (2% >= p > 0%),A - Excellent,B - Good
IT1110021,Laghi di Ivrea,9160,,Querceti di farnia o rovere subatlantici e dell’Europa centrale del Carpinion betuli,28.76,C - significant,C (2% >= p > 0%),B - Good,B - Good
IT1110021,Laghi di Ivrea,6510,,"Praterie magre da fieno a bassa altitudine (Alopecurus pratensis, Sanguisorba officinalis)",92.68,B - good,C (2% >= p > 0%),A - Excellent,B - Good
IT1110021,Laghi di Ivrea,9180,,"Foreste di versanti, ghiaioni e valloni del Tilio-Acerion",12.78,D - non significant,,,
IT1110021,Laghi di Ivrea,7210,,Paludi calcaree con Cladium mariscus e specie del Caricion davallianae,1.6,C - significant,C (2% >= p > 0%),B - Good,B - Good
IT1110022,Stagno di Oulx,91E0,,,0.92,D - non significant,,,
IT1110022,Stagno di Oulx,6210,,Formazioni erbose secche seminaturali e facies coperte da cespugli su substrato calcareo (Festuco-Brometalia) (*stupenda fioritura di orchidee),5.6,C - significant,C (2% >= p > 0%),C - Average or reduced,C - Significant
IT1110022,Stagno di Oulx,7230,,Torbiere basse alcaline,2.52,A - excellent,C (2% >= p > 0%),B - Good,B - Good
IT1110022,Stagno di Oulx,9420,,Foreste alpine di Larix decidua e/o Pinus cembra,2.35,C - significant,C (2% >= p > 0%),B - Good,C - Significant
IT1110022,Stagno di Oulx,9180,,"Foreste di versanti, ghiaioni e valloni del Tilio-Acerion",1.0,C - significant,C (2% >= p > 0%),B - Good,C - Significant
IT1110022,Stagno di Oulx,6520,,Praterie montane da fieno,15.49,C - significant,C (2% >= p > 0%),C - Average or reduced,C - Significant
IT1110022,Stagno di Oulx,6410,,"Praterie con Molinia su terreni calcarei, torbosi o argilloso-limosi (Molinion caeruleae)",1.3,C - significant,C (2% >= p > 0%),B - Good,C - Significant
IT1110022,Stagno di Oulx,3140,,Acque oligomesotrofe calcaree con vegetazione bentica di Chara spp.,0.84,B - good,C (2% >= p > 0%),B - Good,B - Good
IT1110024,Lanca di San Michele,91E0,,,52.21,B - good,C (2% >= p > 0%),B - Good,C - Significant
IT1110024,Lanca di San Michele,3240,,Fiumi alpini con vegetazione riparia legnosa a Salix eleagnos,0.68,B - good,C (2% >= p > 0%),B - Good,C - Significant
IT1110024,Lanca di San Michele,3150,,Laghi eutrofici naturali con vegetazione del Magnopotamion o Hydrocharition,0.23,B - good,C (2% >= p > 0%),B - Good,C - Significant
IT1110025,Po morto di Carignano,3150,,Laghi eutrofici naturali con vegetazione del Magnopotamion o Hydrocharition,0.5,B - good,C (2% >= p > 0%),B - Good,B - Good
IT1110025,Po morto di Carignano,3240,,Fiumi alpini con vegetazione riparia legnosa a Salix eleagnos,1.51,B - good,C (2% >= p > 0%),B - Good,C - Significant
IT1110025,Po morto di Carignano,91E0,,,47.28,B - good,C (2% >= p > 0%),B - Good,C - Significant
IT1110026,Champlas - Colle Sestriere,8120,,Ghiaioni calcarei e scisto-calcarei montani e alpini (Thlaspietea rotundifolii),85.05,B - good,C (2% >= p > 0%),A - Excellent,B - Good
IT1110026,Champlas - Colle Sestriere,3240,,Fiumi alpini con vegetazione riparia legnosa a Salix eleagnos,2.1,A - excellent,C (2% >= p > 0%),A - Excellent,A - Excellent
IT1110026,Champlas - Colle Sestriere,7230,,Torbiere basse alcaline,10.5,B - good,C (2% >= p > 0%),B - Good,B - Good
IT1110026,Champlas - Colle Sestriere,6210,,Formazioni erbose secche seminaturali e facies coperte da cespugli su substrato calcareo (Festuco-Brometalia) (*stupenda fioritura di orchidee),10.5,B - good,C (2% >= p > 0%),B - Good,B - Good
